Azerbaijan, 16870, 665.14
Italy, 11258, 76.14
Ukraine, 3285, 1759.16
Germany, 18540, 565.22
Australia, 37288, 584.98
Vanuatu, 24943, 671.8
Bulgaria, 8933, 83.04
Mongolia, 8997, 1692.72
Armenia, 31336, 1063.72
Yemen, 18389, 888.08
Bahamas, 25551, 829.02
Trinidad & Tobago, 29624, 326.98
Spain, 20700, 593.46
Russian Federation, 16442, 121.09
Djibouti, 32266, 1691.9
Ethiopia, 1020, 1725.7
Eswatini, 19109, 673.13
Slovakia, 43295, 981.05
Aruba, 27473, 1832.98
Nepal, 15160, 1898.27
India, 32617, 1679.98
Gambia, 43995, 97.34
Israel, 7490, 98.63
Kosovo, 6223, 551.57
Burkina, 19269, 757.34
Barbados, 8296, 658.55
Algeria, 25304, 747.78
Afghanistan, 35609, 442.27
Albania, 19957, 979.56
San Marino, 34302, 1569.36
Costa Rica, 46503, 1468.97
Marshall Islands, 22302, 1871.69
Iceland, 3222, 1558.21
Kuwait, 17118, 1961.91
Japan, 43600, 808.86
Canada, 14708, 537.97
Oman, 26281, 862.57
Liberia, 40150, 997.16
Vietnam, 16697, 196.94
Taiwan, 15754, 433.11
Bhutan, 43990, 1593.08
Indonesia, 16025, 1397.62
Antigua & Deps, 3937, 1683.85
Colombia, 12478, 833.97
France, 34409, 1733.8
Iraq, 580, 1613.5
Uruguay, 48611, 1952.87
Benin, 41255, 689.79
Cuba, 24299, 571.91
Myanmar, 15466, 263.33
South Africa, 10675, 1006.21
Bahrain, 8249, 1547.74
Brazil, 32005, 158.08
Congo, 6203, 1222.77
Guatemala, 46243, 914.29
Guinea-Bissau, 3217, 184.98
Austria, 29665, 1017.2
Slovenia, 3277, 1485.56
Comoros, 37913, 1096.37
Serbia, 9452, 467.9
China, 19037, 757.57
Belarus, 20074, 768.77
Dominica, 30222, 1750.14
Madagascar, 21772, 1625.98
Chile, 18336, 1721.19
Denmark, 30086, 1744.5
Tajikistan, 2309, 653.85
Angola, 15423, 1632.87
Nicaragua, 33961, 36.86
Georgia, 5982, 337.52
Argentina, 47816, 1013.4
Bangladesh, 37288, 593.34
